String Identifier	English	Spanish	French	Chinese Simplified	Dutch	Italian	Russian	Korean	Hungarian	German	Slovak	Ukrainian	Vietnamese	Persian	Romanian	Portuguese	Finnish	Bulgarian	Indonesian	Turkish	Japanese	Czech	Catalan	Serbian	Norwegian Bokmål	Chinese Traditional	Hindi	Polish	Arabic	Swedish	Danish	Thai	Greek	Hebrew	Slovenian	Norwegian Nynorsk	Croatian	English (United Kingdom)	Malay	Armenian	Macedonian	Afrikaans	Tamil	Uzbek	Esperanto	Portuguese (Brazil)	Filipino / Tagalog	Kazakh	Belarusian (Belarus)	Albanian	Lithuanian	Latvian (Latvia)	Estonian	Azerbaijani	Icelandic (Iceland)	Swahili	Latin	Welsh (United Kingdom)	Telugu
molybdenum	Molybdenum	Molibdeno	Molybdène	钼	Molybdeen	Molibdeno	Молибден	몰리브데넘	Molibdén	Molybdän	Molybdén	Молібден	Molypden	مولیبدن	Molibden	Molibdénio	Molybdeeni	Молибден	Molibden	Molibden	モリブデン	Molybden	Molibdè	Молибден	Molybden	鉬	मोलिब्डेनम	Molibden	موليبدنوم	Molybden	Molybdenum	โมลิบดีนัม	Μολυβδένιο	מוליבדן	Molibden	Molybden	Molibden	Molybdenum	Molibdenum	Մոլիբդեն	Молибден	Molibdeen	மாலிப்டினம்	Molibden	Molibdeno	Molibdênio	Molibdeno	Молибден	Малібдэн	Molibdeni	Molibdenas	Molibdēns	Molübdeen	Molibden	Mólýbden	Molibdeni	Molybdenum	Molybdenwm	మాలిబ్డినం
technetium	Technetium	Tecnecio	Technétium	锝	Technetium	Tecnezio	Технеций	테크네튬	Technécium	Technetium	Technécium	Технецій	Tecneti	تکنسیم	Technețiu	Tecnécio	Teknetium	Технеций	Teknetium	Teknetyum	テクネチウム	Technecium	Tecneci	Техницијум	Technetium	鍀	टेक्निशियम	Technet	تكنيشيوم	Teknetium	Technetium	เทกนีเทียม	Τεχνήτιο	טכנציום	Tehnecij	Technetium	Tehnecij	Technetium	Teknetium	Տեխնեցիում	Технициум	Tegnesium	டெக்னீசியம்	Texnetsiy	Teknecio	Tecnécio	Teknesyo	Технеций	Тэхнецый	Tekneti	Technecis	Tehnēcijs	Tehneetsium	Texnesium	Teknetín	Tekineti	Technetium	Technetiwm	టెక్నీషియం
ruthenium	Ruthenium	Rutenio	Ruthénium	钌	Ruthenium	Rutenio	Рутений	루테늄	Ruténium	Ruthenium	Ruténium	Рутеній	Rutheni	روتنیم	Ruteniu	Rutênio	Rutenium	Рутений	Ruthenium	Rutenyum	ルテニウム	Ruthenium	Ruteni	Рутенијум	Ruthenium	釕	रूथेनियम	Ruten	روثينيوم	Rutenium	Ruthenium	รูทีเนียม	Ρουθήνιο	רותניום	Rutenij	Ruthenium	Rutenij	Ruthenium	Rutenium	Ռութենիում	Рутениум	Rutenium	ருத்தேனியம்	Ruteniy	Rutenio	Rutênio	Rutenyo	Рутений	Рутэній	Ruteni	Rutenis	Rutēnijs	Ruteenium	Rutenium	Rúþen	Rutheni	Ruthenium	Rwtheniwm	రుథీనియం
rhodium	Rhodium	Rodio	Rhodium	铑	Rhodium	Rodio	Родий	로듐	Ródium	Rhodium	Ródium	Родій	Rhodi	رودیم	Rodiu	Ródio	Rodium	Родий	Rodium	Rodyum	ロジウム	Rhodium	Rodi	Родијум	Rhodium	銠	रोडियम	Rod	روديوم	Rodium	Rhodium	โรเดียม	Ρόδιο	רודיום	Rodij	Rhodium	Rodij	Rhodium	Rodium	Ռոդիում	Родиум	Rhodium	ரோடியம்	Rodiy	Rodio	Ródio	Rodyo	Родий	Родый	Rhodium	Rodis	Rodijs	Roodium	Rodium	Ródín	Rodi	Rhodium	Rhodiwm	రోడియం
palladium	Palladium	Paladio	Palladium	钯	Palladium	Palladio	Палладий	팔라듐	Palládium	Palladium	Paládium	Паладій	Paladi	پالادیم	Paladiu	Paládio	Palladium	Паладий	Paladium	Paladyum	パラジウム	Palladium	Pal·ladi	Паладијум	Palladium	鈀	पलाडियम	Pallad	بالاديوم	Palladium	Palladium	แพลเลเดียม	Παλλάδιο	פלדיום	Paladij	Palladium	Paladij	Palladium	Paladium	Պալադիում	Паладиум	Palladium	பல்லேடியம்	Palladiy	Paladio	Paládio	Paladyo	Палладий	Паладый	Palladium	Paladis	Pallādijs	Pallaadium	Palladium	Palladín	Paladi	Palladium	Paladiwm	పెల్లాడియం
silver	Silver	Plata	Argent	银	Zilver	Argento	Серебро	은	Ezüst	Silber	Striebro	Срібло	Bạc	نقره	Argint	Prata	Hopea	Сребро	Perak	Gümüş	銀	Stříbro	Argent	Сребро	Sølv	銀	चाँदी	Srebro	فضة	Silver	Sølv	เงิน	Άργυρος	כסף	Srebro	Sølv	Srebro	Silver	Argentum	Արծաթ	Сребро	Silwer	வெள்ளி	Kumush	Arĝento	Prata	Pilak	Күміс	Серабро	Argjendi	Sidabras	Sudrabs	Hõbe	Gümüş	Silfur	Agenti	Argentum	Arian	వెండి
cadmium	Cadmium	Cadmio	Cadmium	镉	Cadmium	Cadmio	Кадмий	카드뮴	Kadmium	Cadmium	Kadmium	Кадмій	Cadmi	کادمیم	Cadmiu	Cádmio	Kadmium	Кадмий	Kadmium	Kadmiyum	カドミウム	Kadmium	Cadmi	Кадмијум	Kadmium	鎘	कैडमियम	Kadm	كادميوم	Kadmium	Cadmium	แคดเมียม	Κάδμιο	קדמיום	Kadmij	Kadmium	Kadmij	Cadmium	Kadmium	Կադմիում	Кадмиум	Kadmium	காட்மியம்	Kadmiy	Kadmio	Cádmio	Kadmiyo	Кадмий	Кадмій	Cadmium	Kadmis	Kadmijs	Kaadmium	Kadmium	Kadmín	Cadimi	Cadmium	Cadmiwm	కాడ్మియం
indium	Indium	Indio	Indium	铟	Indium	Indio	Индий	인듐	Indium	Indium	Indium	Індій	Indi	ایندیم	Indiu	Índio	Indium	Индий	Indium	İndiyum	インジウム	Indium	Indi	Индијум	Indium	銦	इण्डियम	Ind	إنديوم	Indium	Indium	อินเดียม	Ίνδιο	אינדיום	Indij	Indium	Indij	Indium	Indium	Ինդիում	Индиум	Indium	இண்டியம்	Indiy	Indio	Índio	Indyo	Индий	Індый	Indium	Indis	Indijs	Indium	İndium	Indín	Indi	Indium	Indiwm	ఇండియం
tin	Tin	Estaño	Étain	锡	Tin	Stagno	Олово	주석	Ón	Zinn	Cín	Олово	Thiếc	قلع	Staniu	Estanho	Tina	Калай	Timah	Kalay	スズ	Cín	Estany	Калај	Tinn	錫	त्रपु	Cyna	قصدير	Tenn	Tin	ดีบุก	Κασσίτερος	בדיל	Kositer	Tinn	Kositar	Tin	Timah	Անագ	Калај	Tin	வெள்ளீயம்	Qalay	Stano	Estanho	Lata	Қалайы	Волава	Kallaji	Alavas	Alva	Tina	Qalay	Tin	Stani	Stannum	Tun	టిన్
antimony	Antimony	Antimonio	Antimoine	锑	Antimoon	Antimonio	Сурьма	안티모니	Antimon	Antimon	Antimón	Стибій	Antimon	آنیتموان	Antimoniu	Antimónio	Antimoni	Антимон	Antimon	Antimon	アンチモン	Antimon	Antimoni	Антимон	Antimon	銻	एन्टिमोनी	Antymon	أَنْتِيمُون	Antimon	Antimon	พลวง	Αντιμόνιο	אנטימון	Antimon	Antimon	Antimon	Antimony	Antimoni	Ծարիր	Антимон	Antimonium	ஆண்ட்டிமனி	Surma	Antimono	Antimônio	Antimonyo	Сүрме	Сурма	Antimoni	Stibis	Antimons	Antimon	Stibium	Antimon	Stibi	Stibium	Antimoni	ఆంటిమొని
tellurium	Tellurium	Teluro	Tellure	碲	Telluur	Tellurio	Теллур	텔루륨	Tellúr	Tellur	Telúr	Телур	Telua	تلوریم	Telur	Telúrio	Telluuri	Телур	Telurium	Tellür	テルル	Tellur	Tel·luri	Телур	Tellur	碲	टेलुरियम	Tellur	تيلوريوم	Tellur	Tellur	เทลลูเรียม	Τελλούριο	טלור	Telur	Tellur	Telurij	Tellurium	Telurium	Տելուր	Телур	Tellurium	டெலூரியம்	Tellur	Teluro	Telúrio	Teluryo	Теллур	Тэлур	Teluri	Telūras	Telūrs	Telluur	Tellur	Tellúr	Teluro	Tellurium	Telwriwm	టెలూరియం
iodine	Iodine	Yodo	Iode	碘	Jood	Iodio	Иод	아이오딘	Jód	Iod	Jód	Йод	Iốt	ید	Iod	Iodo	Jodi	Йод	Yodium	İyot	ヨウ素	Jod	Iode	Јод	Jod	碘	आयोडिन	Jod	يود	Jod	Jod	ไอโอดีน	Ιώδιο	יוד	Jod	Jod	Jod	Iodine	Iodin	Յոդ	Јод	Jodium	அயோடின்	Yod	Jodo	Iodo	Yodo	Иод	Ёд	Jodi	Jodas	Jods	Jood	Yod	Joð	Iodini	Iodum	Ïodin	అయొడిన్
xenon	Xenon	Xenón	Xénon	氙	Xenon	Xeno	Ксенон	제논	Xenon	Xenon	Xenón	Ксенон	Xenon	زنون	Xenon	Xénon	Ksenon	Ксенон	Xenon	Zenon	キセノン	Xenon	Xenó	Ксенон	Xenon	氙	ज़ेनान	Ksenon	زينون	Xenon	Xenon	ซีนอน	Ξένο	קסנון	Ksenon	Xenon	Ksenon	Xenon	Xenon	Քսենոն	Ксенон	Xenon	செனான்	Ksenon	Ksenono	Xenônio	Henon	Ксенон	Ксенон	Xenoni	Ksenonas	Ksenons	Ksenoon	Ksenon	Xenon	Xenoni	Xenon	Senon	జెనాన్
caesium	Cesium	Cesio	Césium	铯	Cesium	Cesio	Цезий	세슘	Cézium	Caesium	Cézium	Цезій	Xêzi	سزیم	Cesiu	Césio	Cesium	Цезий	Sesium	Sezyum	セシウム	Cesium	Cesi	Цезијум	Cesium	銫	सीज़ियम	Cez	سيزيوم	Cesium	Cæsium	ซีเซียม	Καίσιο	צזיום	Cezij	Cesium	Cezij	Caesium	Sesium	Ցեզիում	Цезиум	Sesium	சீசியம்	Seziy	Cezio	Césio	Sesyo	Цезий	Цэзій	Ceziumi	Cezis	Cēzijs	Tseesium	Sezium	Sesín	Caesi	Caesium	Cesiwm	సీజియం
barium	Barium	Bario	Baryum	钡	Barium	Bario	Барий	바륨	Bárium	Barium	Bárium	Барій	Bari	باریم	Bariu	Bário	Barium	Барий	Barium	Baryum	バリウム	Baryum	Bari	Баријум	Barium	鋇	बेरियम	Bar	باريوم	Barium	Barium	แบเรียม	Βάριο	בריום	Barij	Barium	Barij	Barium	Barium	Բարիում	Бариум	Barium	பேரியம்	Bariy	Bario	Bário	Baryo	Барий	Барый	Bariumi	Baris	Bārijs	Baarium	Barium	Barín	Bari	Barium	Bariwm	బేరియం
lanthanum	Lanthanum	Lantano	Lanthane	镧	Lanthaan	Lantanio	Лантан	란타넘	Lantán	Lanthan	Lantán	Лантан	Lantan	لانتانیم	Lantan	Lantânio	Lantaani	Лантан	Lantanum	Lantan	ランタン	Lanthan	Lantani	Лантан	Lantan	鑭	लाञ्थनम	Lantan	لانثانوم	Lantan	Lanthanum	แลนทานัม	Λανθάνιο	לנתן	Lantan	Lantan	Lantan	Lanthanum	Lantanum	Լանթան	Лантан	Lantaan	லாந்த்தனம்	Lantan	Lantano	Lantânio	Lantano	Лантан	Лантан	Lantani	Lantanas	Lantāns	Lantaan	Lantan	Lantan	Lanthani	Lanthanum	Lanthanwm	లాంథనం
cerium	Cerium	Cerio	Cérium	铈	Cerium	Cerio	Церий	세륨	Cérium	Cer	Cér	Церій	Xeri	سریم	Ceriu	Cério	Cerium	Церий	Serium	Seryum	セリウム	Cer	Ceri	Церијум	Cerium	鈰	सेरियम	Cer	سيريوم	Cerium	Cerium	ซีเรียม	Δημήτριο	צריום	Cerij	Cerium	Cerij	Cerium	Serium	Ցերիում	Цериум	Serium	சீரியம்	Seriy	Cerio	Cério	Ceryo	Церий	Цэрый	Ceriumi	Ceris	Cērijs	Tseerium	Serium	Serín	Seri	Cerium	Ceriwm	సీరియం
praseodymium	Praseodymium	Praseodimio	Praséodyme	镨	Praseodymium	Praseodimio	Празеодим	프라세오디뮴	Prazeodímium	Praseodym	Prazeodým	Празеодим	Praseodymi	پراسئودیمیم	Praseodim	Praseodímio	Praseodyymi	Празеодим	Praseodimium	Praseodimiyum	プラセオジム	Praseodym	Praseodimi	Празеодијум	Praseodym	鐠	प्रासियोडाइमियम	Prazeodym	براسيوديميوم	Praseodym	Praseodymium	เพรซีโอดิเมียม	Πρασινοδύμιο	פרסאודימיום	Praseodim	Praseodym	Praseodimij	Praseodymium	Praseodimium	Պրազեոդիմ	Празеодиум	Praseodimium	பிரசியோடைமியம்	Prazeodim	Prazeodimo	Praseodímio	Praseodimyo	Празеодим	Празеадым	Praseodimium	Prazeodomis	Prazeodīms	Praseodüüm	Prazedium	Praseódým	Praseodimi	Praseodymium	Praseodymiwm	ప్రాసియోడిమియం
neodymium	Neodymium	Neodimio	Néodyme	钕	Neodymium	Neodimio	Неодим	네오디뮴	Neodímium	Neodym	Neodým	Неодим	Neodymi	نئودیمیم	Neodim	Neodímio	Neodyymi	Неодим	Neodimium	Neodimyum	ネオジム	Neodym	Neodimi	Неодијум	Neodym	釹	नियोडाइमियम	Neodym	نيوديميوم	Neodym	Neodymium	นีโอดิเมียม	Νεοδύμιο	נאודימיום	Neodim	Neodym	Neodimij	Neodymium	Neodimium	Նեոդիմ	Неодиум	Neodimium	நியோடைமியம்	Neodim	Neodimo	Neodímio	Neodimyo	Неодим	Неадым	Neodimium	Neodimis	Neodīms	Neodüüm	Neodium	Neódým	Neodimi	Neodymium	Neodymiwm	నియోడిమియం
promethium	Promethium	Prometio	Prométhium	钷	Promethium	Promezio	Прометий	프로메튬	Prométium	Promethium	Prométium	Прометій	Promethi	پرومتیم	Promețiu	Promécio	Prometium	Прометий	Prometium	Prometyum	プロメチウム	Promethium	Prometi	Прометијум	Promethium	鉕	प्रोमेथियम	Promet	بروميثيوم	Prometium	Promethium	โพรมีเทียม	Προμήθειο	פרומתיום	Prometij	Promethium	Prometij	Promethium	Promethium	Պրոմեթիում	Прометиум	Prometium	புரோமித்தியம்	Prometiy	Prometio	Promécio	Prometyo	Прометий	Праметый	Prometiumi	Prometis	Prometijs	Promeetium	Prometium	Prometín	Promethi	Promethium	Promethiwm	ప్రోమిథియం
samarium	Samarium	Samario	Samarium	钐	Samarium	Samario	Самарий	사마륨	Szamárium	Samarium	Samárium	Самарій	Samari	ساماریم	Samariu	Samário	Samarium	Самарий	Samarium	Samaryum	サマリウム	Samarium	Samari	Самаријум	Samarium	釤	सैमरियम	Samar	ساماريوم	Samarium	Samarium	ซาแมเรียม	Σαμάριο	סמריום	Samarij	Samarium	Samarij	Samarium	Samarium	Սամարիում	Самариум	Samarium	சமேரியம்	Samariy	Samario	Samário	Samaryo	Самарий	Самарый	Samariumi	Samaris	Samārijs	Samaarium	Samarium	Samarín	Samari	Samarium	Samariwm	సమేరియం
europium	Europium	Europio	Europium	铕	Europium	Europio	Европий	유로퓸	Európium	Europium	Európium	Європій	Europi	اوروپیم	Europiu	Európio	Europium	Европий	Europium	Europyum	ユウロピウム	Europium	Europi	Еуропијум	Europium	銪	युरोपियम	Europ	يوروبيوم	Europium	Europium	ยูโรเพียม	Ευρώπιο	אירופיום	Evropij	Europium	Europij	Europium	Europium	Եվրոպիում	Европиум	Europium	யூரோப்பியம்	Yevropiy	Eŭropio	Európio	Europyo	Европий	Еўропій	Europiumi	Europis	Eiropijs	Euroopium	Evropium	Evrópín	Europi	Europium	Ewropiwm	యూరోపియం
gadolinium	Gadolinium	Gadolinio	Gadolinium	钆	Gadolinium	Gadolinio	Гадолиний	가돌리늄	Gadolínium	Gadolinium	Gadolínium	Гадоліній	Gadolini	گادولینیم	Gadoliniu	Gadolínio	Gadolinium	Гадолиний	Gadolinium	Gadolinyum	ガドリニウム	Gadolinium	Gadolini	Гадолинијум	Gadolinium	釓	ग्याडोलिनियम	Gadolin	غادولينيوم	Gadolinium	Gadolinium	แกโดลิเนียม	Γαδολίνιο	גדוליניום	Gadolinij	Gadolinium	Gadolinij	Gadolinium	Gadolinium	Գադոլինիում	Гадолиниум	Gadolinium	கடோலினியம்	Gadoliniy	Gadolinio	Gadolínio	Gadolinyo	Гадолиний	Гадаліній	Gadoliniumi	Gadolinis	Gadolīnijs	Gadoliinium	Qadolinium	Gadólín	Gadolini	Gadolinium	Gadoliniwm	గాడోలీనియం
terbium	Terbium	Terbio	Terbium	铽	Terbium	Terbio	Тербий	터븀	Terbium	Terbium	Terbium	Тербій	Terbi	تربیم	Terbiu	Térbio	Terbium	Тербий	Terbium	Terbiyum	テルビウム	Terbium	Terbi	Тербијум	Terbium	鋱	टर्बियम	Terb	تيربيوم	Terbium	Terbium	เทอร์เบียม	Τέρβιο	טרביום	Terbij	Terbium	Terbij	Terbium	Terbium	Տերբիում	Тербиум	Terbium	டெர்பியம்	Terbiy	Terbio	Térbio	Terbyo	Тербий	Тэрбій	Terbiumi	Terbis	Terbijs	Terbium	Terbium	Terbín	Taribi	Terbium	Terbiwm	టెర్బియం
